interval_start_dt,interval_end_dt,system_load_mw,region_count,date,year,month,hour,day_of_week,dow_num,is_weekend,season,source,definition
2023-09-02T03:00:00,2023-09-02T04:00:00,62969.73,3,9/2/2023,2023,9,3,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T04:00:00,2023-09-02T05:00:00,62718.29,3,9/2/2023,2023,9,4,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T05:00:00,2023-09-02T06:00:00,63200.28,3,9/2/2023,2023,9,5,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T06:00:00,2023-09-02T07:00:00,63825.46,3,9/2/2023,2023,9,6,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T07:00:00,2023-09-02T08:00:00,65555.05,3,9/2/2023,2023,9,7,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T08:00:00,2023-09-02T09:00:00,69191.02,3,9/2/2023,2023,9,8,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T09:00:00,2023-09-02T10:00:00,73598.47,3,9/2/2023,2023,9,9,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T10:00:00,2023-09-02T11:00:00,78321.9,3,9/2/2023,2023,9,10,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T11:00:00,2023-09-02T12:00:00,82889.68,3,9/2/2023,2023,9,11,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T12:00:00,2023-09-02T13:00:00,86999.37,3,9/2/2023,2023,9,12,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T13:00:00,2023-09-02T14:00:00,90600.66,3,9/2/2023,2023,9,13,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T14:00:00,2023-09-02T15:00:00,93950.43,3,9/2/2023,2023,9,14,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T15:00:00,2023-09-02T16:00:00,96456.61,3,9/2/2023,2023,9,15,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T16:00:00,2023-09-02T17:00:00,97810.97,3,9/2/2023,2023,9,16,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T17:00:00,2023-09-02T18:00:00,98216.17,3,9/2/2023,2023,9,17,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T18:00:00,2023-09-02T19:00:00,96143.67,3,9/2/2023,2023,9,18,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T19:00:00,2023-09-02T20:00:00,93151.34,3,9/2/2023,2023,9,19,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T20:00:00,2023-09-02T21:00:00,90635.37,3,9/2/2023,2023,9,20,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T21:00:00,2023-09-02T22:00:00,86112.6,3,9/2/2023,2023,9,21,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T22:00:00,2023-09-02T23:00:00,81178.61,3,9/2/2023,2023,9,22,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-02T23:00:00,2023-09-03T00:00:00,76453.45,3,9/2/2023,2023,9,23,Saturday,5,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T00:00:00,2023-09-03T01:00:00,72547.56,3,9/3/2023,2023,9,0,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T01:00:00,2023-09-03T02:00:00,69812.52,3,9/3/2023,2023,9,1,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T02:00:00,2023-09-03T03:00:00,67523.84,3,9/3/2023,2023,9,2,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T03:00:00,2023-09-03T04:00:00,65709.68,3,9/3/2023,2023,9,3,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T04:00:00,2023-09-03T05:00:00,64945.59,3,9/3/2023,2023,9,4,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T05:00:00,2023-09-03T06:00:00,65214.29,3,9/3/2023,2023,9,5,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T06:00:00,2023-09-03T07:00:00,65662.56,3,9/3/2023,2023,9,6,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T07:00:00,2023-09-03T08:00:00,67738.05,3,9/3/2023,2023,9,7,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T08:00:00,2023-09-03T09:00:00,72088.48,3,9/3/2023,2023,9,8,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T09:00:00,2023-09-03T10:00:00,77298.96,3,9/3/2023,2023,9,9,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T10:00:00,2023-09-03T11:00:00,83266.64,3,9/3/2023,2023,9,10,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T11:00:00,2023-09-03T12:00:00,88995.05,3,9/3/2023,2023,9,11,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T12:00:00,2023-09-03T13:00:00,93815.24,3,9/3/2023,2023,9,12,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T13:00:00,2023-09-03T14:00:00,97691.84,3,9/3/2023,2023,9,13,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T14:00:00,2023-09-03T15:00:00,101252.61,3,9/3/2023,2023,9,14,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T15:00:00,2023-09-03T16:00:00,103609.16,3,9/3/2023,2023,9,15,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T16:00:00,2023-09-03T17:00:00,105186.47,3,9/3/2023,2023,9,16,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T17:00:00,2023-09-03T18:00:00,105109.71,3,9/3/2023,2023,9,17,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T18:00:00,2023-09-03T19:00:00,102761.75,3,9/3/2023,2023,9,18,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T19:00:00,2023-09-03T20:00:00,98831.49,3,9/3/2023,2023,9,19,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T20:00:00,2023-09-03T21:00:00,95737.97,3,9/3/2023,2023,9,20,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T21:00:00,2023-09-03T22:00:00,90718.9,3,9/3/2023,2023,9,21,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T22:00:00,2023-09-03T23:00:00,85542.09,3,9/3/2023,2023,9,22,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-03T23:00:00,2023-09-04T00:00:00,80010.73,3,9/3/2023,2023,9,23,Sunday,6,TRUE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T00:00:00,2023-09-04T01:00:00,75860.79,3,9/4/2023,2023,9,0,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T01:00:00,2023-09-04T02:00:00,72374.08,3,9/4/2023,2023,9,1,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T02:00:00,2023-09-04T03:00:00,70074.41,3,9/4/2023,2023,9,2,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T03:00:00,2023-09-04T04:00:00,68530.37,3,9/4/2023,2023,9,3,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T04:00:00,2023-09-04T05:00:00,67979.79,3,9/4/2023,2023,9,4,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T05:00:00,2023-09-04T06:00:00,68278.69,3,9/4/2023,2023,9,5,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T06:00:00,2023-09-04T07:00:00,68641.27,3,9/4/2023,2023,9,6,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T07:00:00,2023-09-04T08:00:00,70883.07,3,9/4/2023,2023,9,7,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T08:00:00,2023-09-04T09:00:00,76198.81,3,9/4/2023,2023,9,8,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T09:00:00,2023-09-04T10:00:00,82837.66,3,9/4/2023,2023,9,9,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T10:00:00,2023-09-04T11:00:00,89928.87,3,9/4/2023,2023,9,10,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T11:00:00,2023-09-04T12:00:00,96136.2,3,9/4/2023,2023,9,11,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T12:00:00,2023-09-04T13:00:00,101223.74,3,9/4/2023,2023,9,12,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T13:00:00,2023-09-04T14:00:00,104792.19,3,9/4/2023,2023,9,13,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T14:00:00,2023-09-04T15:00:00,106759.77,3,9/4/2023,2023,9,14,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T15:00:00,2023-09-04T16:00:00,108333.22,3,9/4/2023,2023,9,15,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T16:00:00,2023-09-04T17:00:00,109245.92,3,9/4/2023,2023,9,16,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T17:00:00,2023-09-04T18:00:00,108737.63,3,9/4/2023,2023,9,17,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T18:00:00,2023-09-04T19:00:00,106095.71,3,9/4/2023,2023,9,18,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T19:00:00,2023-09-04T20:00:00,102459.95,3,9/4/2023,2023,9,19,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T20:00:00,2023-09-04T21:00:00,98920.58,3,9/4/2023,2023,9,20,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T21:00:00,2023-09-04T22:00:00,93411.73,3,9/4/2023,2023,9,21,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T22:00:00,2023-09-04T23:00:00,87276.73,3,9/4/2023,2023,9,22,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-04T23:00:00,2023-09-05T00:00:00,81849.75,3,9/4/2023,2023,9,23,Monday,0,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T00:00:00,2023-09-05T01:00:00,77686.13,3,9/5/2023,2023,9,0,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T01:00:00,2023-09-05T02:00:00,74660.24,3,9/5/2023,2023,9,1,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T02:00:00,2023-09-05T03:00:00,72761.15,3,9/5/2023,2023,9,2,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T03:00:00,2023-09-05T04:00:00,71859.49,3,9/5/2023,2023,9,3,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T04:00:00,2023-09-05T05:00:00,72745.02,3,9/5/2023,2023,9,4,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T05:00:00,2023-09-05T06:00:00,76539.98,3,9/5/2023,2023,9,5,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T06:00:00,2023-09-05T07:00:00,81208.49,3,9/5/2023,2023,9,6,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T07:00:00,2023-09-05T08:00:00,84725.96,3,9/5/2023,2023,9,7,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T08:00:00,2023-09-05T09:00:00,88648.71,3,9/5/2023,2023,9,8,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T09:00:00,2023-09-05T10:00:00,93466.85,3,9/5/2023,2023,9,9,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T10:00:00,2023-09-05T11:00:00,98265.53,3,9/5/2023,2023,9,10,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T11:00:00,2023-09-05T12:00:00,103035.88,3,9/5/2023,2023,9,11,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T12:00:00,2023-09-05T13:00:00,107223.15,3,9/5/2023,2023,9,12,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T13:00:00,2023-09-05T14:00:00,110282.03,3,9/5/2023,2023,9,13,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T14:00:00,2023-09-05T15:00:00,111933.65,3,9/5/2023,2023,9,14,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T15:00:00,2023-09-05T16:00:00,112747.9,3,9/5/2023,2023,9,15,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T16:00:00,2023-09-05T17:00:00,112920.07,3,9/5/2023,2023,9,16,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T17:00:00,2023-09-05T18:00:00,111693.92,3,9/5/2023,2023,9,17,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T18:00:00,2023-09-05T19:00:00,108847.6,3,9/5/2023,2023,9,18,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T19:00:00,2023-09-05T20:00:00,106112.43,3,9/5/2023,2023,9,19,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T20:00:00,2023-09-05T21:00:00,102179.71,3,9/5/2023,2023,9,20,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T21:00:00,2023-09-05T22:00:00,96426.02,3,9/5/2023,2023,9,21,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T22:00:00,2023-09-05T23:00:00,89967.36,3,9/5/2023,2023,9,22,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-05T23:00:00,2023-09-06T00:00:00,84063.54,3,9/5/2023,2023,9,23,Tuesday,1,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T00:00:00,2023-09-06T01:00:00,79680.94,3,9/6/2023,2023,9,0,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T01:00:00,2023-09-06T02:00:00,76452.92,3,9/6/2023,2023,9,1,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T02:00:00,2023-09-06T03:00:00,74179.65,3,9/6/2023,2023,9,2,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T03:00:00,2023-09-06T04:00:00,73209.71,3,9/6/2023,2023,9,3,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T04:00:00,2023-09-06T05:00:00,73935.29,3,9/6/2023,2023,9,4,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T05:00:00,2023-09-06T06:00:00,76912.46,3,9/6/2023,2023,9,5,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T06:00:00,2023-09-06T07:00:00,81106.19,3,9/6/2023,2023,9,6,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T07:00:00,2023-09-06T08:00:00,83069.06,3,9/6/2023,2023,9,7,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T08:00:00,2023-09-06T09:00:00,85208.61,3,9/6/2023,2023,9,8,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T09:00:00,2023-09-06T10:00:00,87797.17,3,9/6/2023,2023,9,9,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-06T10:00:00,2023-09-06T11:00:00,90531.83,3,9/6/2023,2023,9,10,Wednesday,2,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
